Experiment,Sample,Cells,Input_replicate,Input_adapter_1,Input_adapter_2,Input_fastq_1,Input_fastq_2,CLIP_replicate,CLIP_adapter_1,CLIP_adapter_2,CLIP_fastq_1,CLIP_fastq_2,Accession,Barcode 1,Barcode 2,RBP
PUM1_K562_ENCSR308YNT,PUM1_K562_ENCSR308YNT,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF475RBN.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF294VPI.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A03_G07.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF046QBX.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF353ZJC.fastq.gz,ENCSR308YNT,A03,G07,PUM1
PUM2_K562_ENCSR661ICQ,PUM2_K562_ENCSR661ICQ,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF616FCF.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF495ZPY.fastq.gz,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A03_G07.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF956TOZ.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF133DNM.fastq.gz,ENCSR661ICQ,A03,G07,PUM2
PUM1_K562_ENCSR308YNT,PUM1_K562_ENCSR308YNT,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF475RBN.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF294VPI.fastq.gz,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A04_F05.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF116YKN.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF019LLG.fastq.gz,ENCSR308YNT,A04,F05,PUM1
PUM2_K562_ENCSR661ICQ,PUM2_K562_ENCSR661ICQ,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/RiL19.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF616FCF.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/sm_input/ENCFF495ZPY.fastq.gz,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/A04_F05.fasta,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF041KJT.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/eclip_fastq/clip/ENCFF462SCV.fastq.gz,ENCSR661ICQ,A04,F05,PUM2
