Experiment,Sample,Cells,Input_replicate,Input_adapter_1,Input_adapter_2,CLIP_replicate,CLIP_adapter_1,CLIP_adapter_2,RBP,CLIP_barcode_1,CLIP_barcode_2,Accession,CLIP_fastq_1,CLIP_fastq_2,Input_fastq_1,Input_fastq_2
SUCLG1_K562_430,SUCLG1_K562_430,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A03_G07.fasta,SUCLG1,A03,G07,430,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/430_CLIP_S15_1.A03_G07.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/430_CLIP_S15_1.A03_G07.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.430_INPUT_S16_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.430_INPUT_S16_1.NIL.r2.fq.gz
SUCLG1_K562_430,SUCLG1_K562_430,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A04_F05.fasta,SUCLG1,A04,F05,430,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/430_CLIP_S15_2.A04_F05.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/430_CLIP_S15_2.A04_F05.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.430_INPUT_S16_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.430_INPUT_S16_1.NIL.r2.fq.gz
RAVER1_K562_467,RAVER1_K562_467,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A01_B06.fasta,RAVER1,A01,B06,467,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/467_CLIP_S17_1.A01_B06.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/467_CLIP_S17_1.A01_B06.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.467_INPUT_S18_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.467_INPUT_S18_1.NIL.r2.fq.gz
RAVER1_K562_467,RAVER1_K562_467,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/C01_D08fixed.fasta,RAVER1,C01,D08fixed,467,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/467_CLIP_S17_2.C01_D08fixed.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/467_CLIP_S17_2.C01_D08fixed.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.467_INPUT_S18_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.467_INPUT_S18_1.NIL.r2.fq.gz
RCC2_K562_580,RCC2_K562_580,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/C01_D08fixed.fasta,RCC2,C01,D08fixed,580,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/580_CLIP_S11_1.C01_D08fixed.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/580_CLIP_S11_1.C01_D08fixed.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.580_INPUT_S12_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.580_INPUT_S12_1.NIL.r2.fq.gz
RCC2_K562_580,RCC2_K562_580,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A01_B06.fasta,RCC2,A01,B06,580,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/580_CLIP_S11_2.A01_B06.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/580_CLIP_S11_2.A01_B06.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.580_INPUT_S12_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.580_INPUT_S12_1.NIL.r2.fq.gz
PSIP1_K562_579,PSIP1_K562_579,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A01_B06.fasta,PSIP1,A01,B06,579,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/579_CLIP_S49_1.A01_B06.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/579_CLIP_S49_1.A01_B06.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.579_INPUT_S50_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.579_INPUT_S50_1.NIL.r2.fq.gz
PSIP1_K562_579,PSIP1_K562_579,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/C01_D08fixed.fasta,PSIP1,C01,D08fixed,579,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/579_CLIP_S49_2.C01_D08fixed.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/579_CLIP_S49_2.C01_D08fixed.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.579_INPUT_S50_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.579_INPUT_S50_1.NIL.r2.fq.gz
ATXN1_K562_472,ATXN1_K562_472,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A04_F05.fasta,ATXN1,A04,F05,472,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/472_CLIP_S11_1.A04_F05.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/472_CLIP_S11_1.A04_F05.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.472_INPUT_S12_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.472_INPUT_S12_1.NIL.r2.fq.gz
ATXN1_K562_472,ATXN1_K562_472,K562,1,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab4/software/skipper/1.99.0/examples/inputs/InvRiL19.fasta,2,/tscc/projects/ps-yeolab3/eboyle/encode/pipeline/adapters/fwd_encode3.fasta,/tscc/projects/ps-yeolab5/encode/processing/rerun_failed/adapters/A03_G07.fasta,ATXN1,A03,G07,472,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/472_CLIP_S11_2.A03_G07.demuxed.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/merged_fastqs/472_CLIP_S11_2.A03_G07.demuxed.r2.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.472_INPUT_S12_1.NIL.r1.fq.gz,/tscc/nfs/home/bay001/projects/encode/temporary_data/demuxed_fastqs/failed.472_INPUT_S12_1.NIL.r2.fq.gz
